siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 14:00",1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 14:00",0.31
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 14:00",46.1
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 14:00",12
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 14:00",13.6
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 14:00",6
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 15:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 15:00",0.3
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 15:00",44.3
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 15:00",10
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 15:00",14.4
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 15:00",5
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 16:00",1.8
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 16:00",0.32
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 16:00",40.2
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 16:00",7
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 16:00",18.3
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 16:00",8
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 17:00",1.8
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 17:00",0.35
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 17:00",40.9
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 17:00",5
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 17:00",16.2
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 17:00",6
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 18:00",1.3
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 18:00",0.33
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 18:00",45.4
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 18:00",4
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 18:00",13.9
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 18:00",6
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 19:00",2
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 19:00",0.28
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 19:00",47.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 19:00",8
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 19:00",11.6
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 19:00",8
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 20:00",1.5
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 20:00",0.25
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 20:00",53.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 20:00",5
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 20:00",7.6
