date,pm2.5,so2,no2,co,o3,pm10
2025/03/23,17.6,1.9,12.4,0.3,50.3,24.9
2025/03/24,20.8,2.2,19.9,0.4,42.5,34.3
2025/03/25,23.6,1.8,21.2,0.4,42.1,36.2
2025/03/26,23.9,3.0,20.0,0.4,40.7,36.6
2025/03/27,22.6,0.8,14.1,0.3,27.6,39.3
2025/03/28,14.0,0.6,9.6,0.2,31.7,27.3
2025/03/29,8.9,1.3,7.7,0.2,42.2,14.0
2025/03/30,3.6,0.8,7.1,0.2,41.2,4.6
2025/03/31,4.2,0.5,12.2,0.2,35.6,5.3
2025/04/01,8.5,0.6,18.4,0.3,28.2,13.6
2025/04/02,13.7,1.3,10.5,0.2,43.5,29.1
2025/04/03,10.1,1.1,6.5,0.1,54.8,30.6
2025/04/04,18.8,1.6,3.7,0.2,70.1,44.9
2025/04/05,21.8,0.7,10.1,0.3,44.8,36.4
2025/04/06,17.9,0.9,10.3,0.3,40.3,29.0
2025/04/07,20.6,1.0,7.6,0.2,56.9,44.7
2025/04/08,21.7,1.3,21.3,0.4,35.4,38.1
2025/04/09,27.0,0.9,20.0,0.5,39.9,40.2
2025/04/10,16.0,0.5,18.3,0.5,36.2,19.1
2025/04/11,17.9,0.4,13.3,0.4,33.1,23.8
2025/04/12,15.0,1.0,13.4,0.4,24.3,22.5
2025/04/13,30.7,1.3,7.9,0.2,40.9,100.0
2025/04/14,26.3,1.6,14.7,0.3,39.8,72.6
2025/04/15,25.5,1.2,11.6,0.3,48.6,79.7
2025/04/16,26.6,1.1,15.1,0.3,55.0,78.5
2025/04/17,25.8,1.7,15.3,0.3,43.7,65.5
2025/04/18,20.3,0.9,12.2,0.3,31.4,42.0
2025/04/19,16.8,0.8,10.7,0.2,31.8,33.2
2025/04/20,12.7,0.3,9.7,0.2,17.8,16.5
2025/04/21,21.7,0.5,14.4,0.3,27.2,34.4
2025/04/22,15.7,0.5,10.3,0.3,27.5,30.0
2025/04/23,10.5,0.9,9.5,0.2,35.4,21.2
2025/04/24,8.5,0.7,13.2,0.3,41.4,21.2
2025/04/25,8.0,0.8,11.2,0.3,49.8,16.7
2025/04/26,6.4,1.2,8.2,0.2,52.1,10.8
2025/04/27,9.9,0.7,11.4,0.3,42.4,23.4
2025/04/28,17.2,0.9,15.0,0.3,38.6,30.0
2025/04/29,10.9,1.5,10.5,0.2,45.0,25.1
2025/04/30,13.0,1.4,11.0,0.3,52.2,30.2
2025/05/01,16.9,1.0,11.8,0.3,34.3,33.2
2025/05/02,18.5,1.3,7.9,0.2,51.1,39.5
2025/05/03,16.2,1.2,9.5,0.3,47.5,31.2
2025/05/04,17.3,0.9,6.7,0.2,42.0,32.2
