timestamp,Temperature,T Max,T Min,RH,WS,WD,Precp,SunShine,GloblRad,UVI Max
2025/03/01,22.6,28.2,17.3,73,1.1,180,0.0,6.8,18.86,9.0
2025/03/02,23.8,29.4,20.5,71,1.0,340,0.0,3.8,13.09,7.0
2025/03/03,23.5,27.0,19.2,80,1.2,150,3.5,0.4,7.1,4.0
2025/03/04,21.1,26.6,18.2,88,2.3,100,54.0,2.7,11.18,8.0
2025/03/05,17.5,18.7,16.8,89,3.1,100,14.5,0.0,4.49,3.0
2025/03/06,15.3,17.4,13.5,84,2.3,100,18.5,0.0,4.26,3.0
2025/03/07,14.6,16.5,12.9,80,3.2,100,2.5,0.0,4.76,3.0
2025/03/08,15.2,16.5,14.0,82,2.1,110,,0.0,4.53,3.0
2025/03/09,17.8,19.9,16.2,78,3.5,100,0.0,6.8,19.28,9.0
2025/03/10,20.2,25.3,16.8,79,1.7,250,0.0,10.1,21.36,9.0
2025/03/11,20.7,28.7,16.9,79,1.2,340,,6.6,18.4,9.0
2025/03/12,23.8,30.6,18.6,72,1.0,330,0.0,6.8,17.78,10.0
2025/03/13,21.3,23.6,17.9,87,1.5,100,22.0,0.5,6.34,8.0
2025/03/14,19.2,21.2,16.9,90,1.9,100,11.0,0.0,5.12,3.0
2025/03/15,17.3,19.3,14.7,93,1.5,100,54.0,0.0,3.07,2.0
2025/03/16,13.9,15.5,12.6,72,1.9,340,7.0,0.3,5.6,3.0
